Year,Movie,Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Screenplay by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Running time,Language
2000,Annayya,Action,6.7,85%, Muthyala Subbaiah , K.Venkateshwara Rao , Satyanand ,, Chiranjeevi , Soundarya , Mani Sharma , Chota K. Naidu , A. Sreekar Prasad , Sri Sai Ram Arts ,7-January-2000, 157 mins , Telugu 
2000,Badri,Romance,7.1,86%, Puri Jagannadh , T. Trivikrama Rao , Puri Jagannadh ,, Pawan Kalyan , Amisha Patel , Ramana Gogula , Madhu Ambat , Marthand K. Venkatesh , Vijaya Lakhshmi Movies ,20-April-2000, 158 minutes , Telugu 
2000,Nuvve Kavali,Romance,7.4,83%, K. Vijaya Bhaskar , Ramoji Rao , K. Vijaya Bhaskar (screenplay) ,, Tarun Kumar , Richa Pallod , Saluri Koteswara Rao , Hari Anumolu , A. Sreekar Prasad , Ushakiran Movies ,13-October-2000, 131 minutes , Telugu 
2000,Vamsi,Action,5/1,82%, B. Gopal , G. Adiseshagiri Rao , Satyanand ,, Mahesh Babu , Namrata Shirodkar , Mani Sharma , Ajayan Vincent , Kotagiri Venkateswara Rao , Padmalaya Studios ,4-October-2000, 155 mins , Telugu 
2000,Rayalaseema Ramanna Chowdary,,7.1,88%, Suresh Krissna , Mohan Babu , Paruchuri Brothers (dialogues) Arunachalam Creations (story/screenplay) ,, Mohan babu , Jayasudha , Mani Sharma , Jayaram ,,,September-15,, Telugu 
2000,Yuvaraju,Romance,5.9,88%, Y.V.S Chowdary , Burugapally Sivarama Krishna , Y.V.S. Chowdary ,, Mahesh Babu , Simran , Ramana Gogula , Ajay Vincent , Bulli Reddy ,,14-April-2000, 165mins , Telugu 
2000,Ravanna,Tollywood,,, B. Gopal , Maganti Gopinath , Posani Krishna Murali ,, Rajasekhar , Soundarya , S. A. Rajkumar ,,,,3-March-2000,, Telugu 
2000,Chala Bagundi,Comedy,6.5,, E. V. V. Satyanarayana , E. V. V. Satyanarayana , Janardhan Maharshi (dialogues ) , E. V. V. Satyanarayana , Srikanth , Vadde Naveen , Koti ,,, E. V .V. Cinema ,18-February-2000,, Telugu 
2000,Yuvakudu,Romance,7.1,, A. Karunakaran , Akkineni Nagarjuna ,,, Sumanth , Bhumika Chawla , Mani Sharma , Balasubramaniem , Marthand K. Venkatesh , Great India Entertainments ,May-18, 138 mins , Telugu 
2000,Kodanda Ramudu,Romance,,, S. V. Krishna Reddy , Ramakrishna Reddy , Diwakar Babu (Dialogue) ,, J. D. Chakravarthy , Rambha , S. V. Krishna Reddy , Sarat , K. Ramgopal Reddy , Kanthi Krishna Arts ,2000, 140 minutes , Telugu 
