Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Action,6.7,85.0,Muthyala Subbaiah,K.Venkateshwara Rao,Satyanand,Chiranjeevi,Soundarya,Mani Sharma,Chota K. Naidu,A. Sreekar Prasad,Sri Sai Ram Arts,January,Telugu,1
Romance,7.1,86.0,Puri Jagannadh,T. Trivikrama Rao,Puri Jagannadh,Pawan Kalyan,Amisha Patel,Ramana Gogula,Madhu Ambat,Marthand K. Venkatesh,Vijaya Lakhshmi Movies,April,Telugu,1
Romance,7.4,83.0,K. Vijaya Bhaskar,Ramoji Rao,K. Vijaya Bhaskar (screenplay),Tarun Kumar,Richa Pallod,Saluri Koteswara Rao,Hari Anumolu,A. Sreekar Prasad,Ushakiran Movies,October,Telugu,1
Action,5.1,82.0,B. Gopal,G. Adiseshagiri Rao,Satyanand,Mahesh Babu,Namrata Shirodkar,Mani Sharma,Ajayan Vincent,Kotagiri Venkateswara Rao,Padmalaya Studios,October,Telugu,1
Others,7.1,88.0,Suresh Krissna,Mohan Babu,Paruchuri Brothers (dialogues) Arunachalam Creations (story/screenplay),Mohan babu,Jayasudha,Mani Sharma,Jayaram,Others,Others,September,Telugu,5
Romance,5.9,88.0,Y.V.S Chowdary,Burugapally Sivarama Krishna,Y.V.S. Chowdary,Mahesh Babu,Simran,Ramana Gogula,Ajay Vincent,Bulli Reddy,Others,April,Telugu,2
Tollywood,6.0,83.0,B. Gopal,Maganti Gopinath,Posani Krishna Murali,Rajasekhar,Soundarya,S. A. Rajkumar,Others,Others,Others,March,Telugu,7
Comedy,6.5,83.0,E. V. V. Satyanarayana,E. V. V. Satyanarayana,Janardhan Maharshi (dialogues ),Srikanth,Vadde Naveen,Koti,Others,Others,E. V .V. Cinema,February,Telugu,4
Romance,7.1,83.0,A. Karunakaran,Akkineni Nagarjuna,Others,Sumanth,Bhumika Chawla,Mani Sharma,Balasubramaniem,Marthand K. Venkatesh,Great India Entertainments,May,Telugu,3
Drama,6.2,84.0,N.Shankar,D.Suresh Babu,Paruchuri Brothers,Venkatesh,Soundarya,Vandemataram Srinivas,K Ravindra Babu,Marthand K. Venkatesh,Suresh Productions,October,Telugu,1
Tollywood,5.1,83.0,Siva Nageswara Rao,Nitin Kapoor,Others,Chiranjeevi (cameo),Jayasudha,Shashi Preetam,Others,Others,Others,February,Telugu,7
Romance,7.2,95.0,G.Ram Prasad,Shyam Prasad,Trivikram Srinivas,Venu Thottempudi,Shahin,Mani Sharma,k. Prasad,Others,SP Entertainments,November,Telugu,3
Others,7.2,83.0,E. V. V. Satyanarayana,Jitu,Others,Srikanth,Suresh,Vandemataram Srinivas,Others,Others,A. A. Arts,October,Telugu,7
Romance,7.2,76.0,Teja,Ramoji Rao,Teja,Uday Kiran,Reema Sen,R. P. Patnaik,Rasool Ellore,Shankar,Ushakiran Movies,May,Telugu,2
Drama,5.9,83.0,E V V Satyanarayana,Nandamuri Rama Krishna,Janardhan Maharshi (dialogues),Nandamuri Balakrishna,Simran,Koti,Nandamuri Mohana Krishna,Kotagiri Venkateswara Rao,Ramakrishna Horticulture Cine Studios,July,Telugu,1
Action,4.7,83.0,Puri Jagannadh,Chanti Addala,Chintapalli Ramana,Jagapathi Babu,Neelambari,Chakri,V. Srinivasa Reddy,V. Nagi Reddy,Srinivasa Arts,November,Telugu,2
Action,7.1,83.0,Gunasekhar,Mullapudi Brahmanandam,Posani Krishna Murali (dialogues),Jagapati Babu,Laya,Mani Sharma,Sekhar V. Joseph,A. Sreekar Prasad,M.R.C & Melody Combines,January,Telugu,1
