Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Action,6.7,85.0,Others,Others,Satyanand,Chiranjeevi,Soundarya,Mani Sharma,Chota K. Naidu,A. Sreekar Prasad,Others,January,Telugu,1
Romance,7.1,86.0,Puri Jagannadh,Others,Puri Jagannadh,Pawan Kalyan,Others,Ramana Gogula,Others,Marthand K. Venkatesh,Others,April,Telugu,1
Romance,7.4,83.0,K. Vijaya Bhaskar,Ramoji Rao,Others,Others,Others,Others,Hari Anumolu,A. Sreekar Prasad,Ushakiran Movies,October,Telugu,1
Action,5.1,82.0,B. Gopal,Others,Satyanand,Mahesh Babu,Others,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,October,Telugu,1
Others,7.1,88.0,Others,Mohan Babu,Others,Others,Others,Mani Sharma,Others,Others,Others,September,Telugu,5
Romance,5.9,88.0,Others,Others,Others,Mahesh Babu,Simran,Ramana Gogula,Others,Others,Others,April,Telugu,2
Tollywood,6.0,83.0,B. Gopal,Others,Posani Krishna Murali,Others,Soundarya,S. A. Rajkumar,Others,Others,Others,March,Telugu,7
Comedy,6.5,83.0,E. V. V. Satyanarayana,E. V. V. Satyanarayana,Others,Srikanth,Others,Koti,Others,Others,E. V .V. Cinema,February,Telugu,4
Romance,7.1,83.0,A. Karunakaran,Akkineni Nagarjuna,Others,Sumanth,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,May,Telugu,3
Drama,6.2,84.0,Others,D.Suresh Babu,Paruchuri Brothers,Venkatesh,Soundarya,Vandemataram Srinivas,Others,Marthand K. Venkatesh,Suresh Productions,October,Telugu,1
Tollywood,5.1,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,February,Telugu,7
Romance,7.2,95.0,Others,Others,Trivikram Srinivas,Others,Others,Mani Sharma,Others,Others,Others,November,Telugu,3
Others,7.2,83.0,E. V. V. Satyanarayana,Others,Others,Srikanth,Others,Vandemataram Srinivas,Others,Others,Others,October,Telugu,7
Romance,7.2,76.0,Teja,Ramoji Rao,Teja,Uday Kiran,Others,R. P. Patnaik,Others,Shankar,Ushakiran Movies,May,Telugu,2
Drama,5.9,83.0,Others,Others,Janardhan Maharshi (dialogues),Nandamuri Balakrishna,Simran,Koti,Others,Kotagiri Venkateswara Rao,Others,July,Telugu,1
Action,4.7,83.0,Puri Jagannadh,Chanti Addala,Chintapalli Ramana,Jagapathi Babu,Others,Chakri,Others,Others,Others,November,Telugu,2
Action,7.1,83.0,Gunasekhar,Others,Others,Jagapati Babu,Others,Mani Sharma,Sekhar V. Joseph,A. Sreekar Prasad,Others,January,Telugu,1
Comedy,4.3,83.0,K. Raghavendra Rao,Ramoji Rao,Others,Jagapati Babu,Soundarya,M. M. Srilekha,Others,Gautham Raju,Ushakiran Movies,September,Telugu,1
Comedy,5.5,83.0,S. V. Krishna Reddy,Others,Diwakar Babu (dialogues),Jagapati Babu,Soundarya,S. V. Krishna Reddy,Sarath,Nandamuri Hari,Others,April,Telugu,1
Drama,6.5,83.0,Others,Others,Paruchuri Brothers,Nandamuri Balakrishna,Others,Koti,V. S. R. Swamy,K. V. Krishna Reddy,Others,January,Telugu,1
